Player,Assist,Corner,Goal,Intercept,Intercept Fail,Pass,Pass Fail,Red Card,Save,Shots Off,Shots On,Tackle,Tackle Fail,Yellow Card,Offside,Grand Total,Opponent
Aceng,,,,1,,3,,,,,,,2,,,6,Bagundal Cicalengka
Agil,,,,,1,17,1,,,,,1,1,,,21,Bagundal Cicalengka
Ali M,,,,1,2,19,1,,,,,1,,,,24,Bagundal Cicalengka
Ammar,1,,,1,,8,7,,,1,,1,4,,,23,Bagundal Cicalengka
Andri V,,,,1,,16,5,,,,,1,2,1,,26,Bagundal Cicalengka
Anggara,,2,,1,1,13,6,,,3,1,,2,,,29,Bagundal Cicalengka
Antonius,,,,2,,12,2,1,,,,,2,2,,21,Bagundal Cicalengka
Auzie,,,,,,2,,,,,1,,2,,,5,Bagundal Cicalengka
Fikri N,,,1,1,,2,5,,,,1,,1,,,11,Bagundal Cicalengka
Hafidz,1,,1,,,3,4,,,1,1,,,,,11,Bagundal Cicalengka
Ridwan,,1,1,,,8,1,,,1,2,,3,,,17,Bagundal Cicalengka
Rizki M,,,,1,,13,6,,5,,,,,,,25,Bagundal Cicalengka
Rizki O,,,,,,2,1,,,,,,1,,,4,Bagundal Cicalengka
Rofi,,,,,,2,,,,,,,,,,2,Bagundal Cicalengka
Roni S,,,,2,,8,,,,,,2,,,,12,Bagundal Cicalengka
Surya G,,,,1,,20,6,,,,,,1,,,28,Bagundal Cicalengka
Aceng,,,,1,,11,,,,,1,,2,,,15,Bandung Mengbal
Ali M,,,,2,1,10,4,,,,,2,2,,,21,Bandung Mengbal
Althop,,,,,,3,2,,,,,,,,,5,Bandung Mengbal
Ammar,,2,,1,1,9,2,,,1,,2,2,1,,21,Bandung Mengbal
Andri V,,,,4,1,13,9,,,,,1,2,1,,31,Bandung Mengbal
Budi Hudni,,,1,,,5,5,,,,1,,1,,,13,Bandung Mengbal
Deni Nurul,,,,,,2,1,,,,,1,1,,,5,Bandung Mengbal
Eggi,,,,1,,12,3,,,2,,,1,,,19,Bandung Mengbal
Fikri N,,2,,2,,14,8,,,,3,2,3,,,34,Bandung Mengbal
Ibrahim,,,,,,6,,,,,,1,2,,,9,Bandung Mengbal
Jumagar,,,,,,11,3,,,,,1,1,,,16,Bandung Mengbal
Nur Faizal,,,,,,2,,,,,,,,,,2,Bandung Mengbal
Ridwan,,,,,,5,2,,,2,,,1,,,10,Bandung Mengbal
Rizki M,,,,1,,11,7,,2,,,,,,,21,Bandung Mengbal
Rofi,,,,4,3,19,3,,,,,,3,,,32,Bandung Mengbal
Roni S,,,,,,11,2,,,,,1,,,,14,Bandung Mengbal
Surya G,1,,,4,2,32,13,,,1,1,2,1,,,57,Bandung Mengbal
Tri W,,,,,,3,,,,,,,1,,,4,Bandung Mengbal
Ammar,,,,4,3,19,14,,,,2,,,,,,B-One
Andri V,,,,8,,21,9,,,,,1,,,,,B-One
Antonius,,,,7,,12,5,,,,1,,1,,,,B-One
Asep Juandi,,,,2,,6,4,,,1,,,,,,,B-One
Budi Hudni,,,,,,6,1,,,,,,,,,,B-One
Dhiya Ulhaq,,,,,3,14,4,,,,,,,,,,B-One
Eggi,,,,3,,11,8,,,,,1,1,,,,B-One
Fikri N,,,,,,12,8,,,,1,,,,,,B-One
Irfan DJ,,,,,,1,1,,,,,,,,,,B-One
Jumagar,,,,3,,18,7,,,2,,,1,,,,B-One
Mahardika,,,,3,,10,3,,,,,,,,,,B-One
Mubarok,,,,,,,1,,,,,,,,,,B-One
Ridwan,,,,,,2,1,,,,,,,,,,B-One
Rofi,,,,10,1,20,3,,,,,,,,,,B-One
Roni S,,,,2,2,15,11,,,3,,,,,,,B-One
Surya G,,,,1,,18,3,,,,,2,,,,,B-One
Aceng,,,,2,,14,3,,,,,1,7,,,,X17 FC
Ali M,,,,7,,12,4,,,,,,1,,,,X17 FC
Althop,,,,,,4,,,,,,,,,,,X17 FC
Antonius,,,,5,2,13,7,,,,,2,2,,,,X17 FC
Asep Juandi,,,,,,3,2,,,,,,1,,,,X17 FC
Budi Hudni,,,,,1,19,2,,,,,,2,,,,X17 FC
Dimas Bayu,,,,,,6,1,,1,,,,1,,,,X17 FC
Dzikri Akbar,,,,,,8,3,,,,1,1,,,,,X17 FC
Fikri N,,2,,1,,4,3,,,1,1,,3,1,,,X17 FC
HALF TIME,,,,,,,,,,,,,,,,,X17 FC
Hendra DP,,,,,,1,,,,,,,1,,,,X17 FC
Irfan DJ,,,,,,4,2,,,,,,1,,,,X17 FC
Jumagar,,1,,3,,7,5,,,1,,,1,,,,X17 FC
Mahardika,,,,,1,3,1,,,,,,1,,,,X17 FC
Naldi,,,,1,,4,1,,,,,,,,,,X17 FC
Ridwan,,,,2,,6,4,,,,,1,,,,,X17 FC
Rizal Fadhilah,,,,2,,6,3,,,1,,,,,,,X17 FC
Rizki M,,,,,,8,3,,,,,,,,,,X17 FC
Rofi,,,,4,1,15,7,,,,1,1,2,,,,X17 FC
Roni S,,,,2,3,24,13,,,1,,5,2,,,,X17 FC
Agil,,,1,1,1,20,8,,,,2,,,,,,Cirebon United
Ali M,,,,2,1,12,3,,,,,,3,,,,Cirebon United
Andri V,,,,3,2,19,11,,,2,,1,2,,,,Cirebon United
Antonius,,,,4,,10,3,,,,,1,1,,,,Cirebon United
Auzie,,1,,1,1,10,3,,,1,,2,3,,,,Cirebon United
Bebeto,,,,1,,2,2,,,,1,,,,1,,Cirebon United
Deni Nurul,,,,4,2,17,5,,,,,4,5,,,,Cirebon United
Dzikri Akbar,1,,,,,6,2,,,,,1,1,,,,Cirebon United
Fikri N,1,3,1,2,,9,6,,,,1,,3,,,,Cirebon United
Hafidz,1,,2,1,,12,3,,,2,2,1,,,1,,Cirebon United
HALF TIME,,,,,,,,,,,,,,,,,Cirebon United
Jumagar,,,,,,4,1,,,,,1,1,,,,Cirebon United
Karno,,,,,,2,,,,,,,,,,,Cirebon United
Noval FajarÂ ,,,,,,3,,,,,,1,2,,,,Cirebon United
Rizki M,,,,1,,17,2,,5,,,,1,,,,Cirebon United
Rofi,,,,2,,5,1,,,,,1,2,,,,Cirebon United
Roni S,,,,2,2,12,8,,,,1,1,5,1,,,Cirebon United
Yan Alfian,,,,,,3,1,,,,,2,1,,,,Cirebon United
